locale,key,first_seen_in_file
de,label.kds_group_by_table,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_items_board_scope,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_order_cap_warning,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_order_list_full_warning,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_sound,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_station_filter,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_sync_never,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_sync_stamp,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kds_volume,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,label.kiosk,resources/js/components/admin/onlineOrders/OnlineOrderListComponent.vue
de,label.kiosk_admin_pin,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_admin_pin_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_idle_screen,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_idle_video,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_idle_video_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_tap_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_tap_hint_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_welcome_subtitle,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_welcome_subtitle_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_welcome_title,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.kiosk_welcome_title_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
de,label.loading,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,label.loyalty_min_redeem_points,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_min_redeem_points_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_points_config,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_points_for_1_euro_discount,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_points_for_1_euro_discount_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_points_per_euro,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_points_per_euro_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.loyalty_preview,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,label.operator,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.out_of_stock,resources/js/components/admin/items/AvailabilityToggleComponent.vue
de,label.register_id,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.siret,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.tendered_breakdown,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.toggle_available,resources/js/components/admin/items/AvailabilityToggleComponent.vue
de,label.toggle_unavailable,resources/js/components/admin/items/AvailabilityToggleComponent.vue
de,label.vat_intra,resources/js/components/admin/pos/ReceiptComponent.vue
de,label.wizard_template,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
de,menu.,resources/js/components/admin/components/BreadcrumbComponent.vue
de,menu.kiosk_setup,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
